127.0.0.1 - - [10/Mar/2023:10:42:14 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:42:16 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1442
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:42:16 +0800] "GET /openGaussPlatform/%E8%83%8C%E6%99%AF1.jpg HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:42:16 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:50:47 +0800] "GET /openGaussPlatform/ HTTP/1.1" 200 1442
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:50:47 +0800] "GET /openGaussPlatform/%E8%83%8C%E6%99%AF1.jpg HTTP/1.1" 200 3616
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:50:47 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:51:27 +0800] "GET /openGaussPlatform/ HTTP/1.1" 200 1442
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:55:09 +0800] "GET /openGaussPlatform/ HTTP/1.1" 200 1442
0:0:0:0:0:0:0:1 - - [10/Mar/2023:10:55:09 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [10/Mar/2023:11:10:41 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1442
0:0:0:0:0:0:0:1 - - [10/Mar/2023:11:12:50 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [10/Mar/2023:11:14:17 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1756
0:0:0:0:0:0:0:1 - - [10/Mar/2023:11:15:28 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1772
0:0:0:0:0:0:0:1 - - [10/Mar/2023:11:15:42 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1706
0:0:0:0:0:0:0:1 - - [10/Mar/2023:11:16:23 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1706
0:0:0:0:0:0:0:1 - - [10/Mar/2023:11:16:31 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1755
0:0:0:0:0:0:0:1 - - [10/Mar/2023:11:23:40 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1755
0:0:0:0:0:0:0:1 - - [10/Mar/2023:11:23:45 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [10/Mar/2023:11:27:01 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [10/Mar/2023:11:27:10 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1775
0:0:0:0:0:0:0:1 - - [10/Mar/2023:11:27:52 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1775
0:0:0:0:0:0:0:1 - - [10/Mar/2023:11:27:56 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1775
0:0:0:0:0:0:0:1 - - [10/Mar/2023:11:28:16 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1775
0:0:0:0:0:0:0:1 - - [10/Mar/2023:11:29:54 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1775
0:0:0:0:0:0:0:1 - - [10/Mar/2023:11:29:58 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1775
0:0:0:0:0:0:0:1 - - [10/Mar/2023:11:30:12 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1775
0:0:0:0:0:0:0:1 - - [10/Mar/2023:11:30:16 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1775
0:0:0:0:0:0:0:1 - - [10/Mar/2023:11:31:05 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1775
0:0:0:0:0:0:0:1 - - [10/Mar/2023:11:31:11 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1777
0:0:0:0:0:0:0:1 - - [10/Mar/2023:11:32:31 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1777
0:0:0:0:0:0:0:1 - - [10/Mar/2023:11:32:37 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1719
0:0:0:0:0:0:0:1 - - [10/Mar/2023:11:33:25 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1719
0:0:0:0:0:0:0:1 - - [10/Mar/2023:11:33:30 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [10/Mar/2023:11:34:53 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [10/Mar/2023:11:35:06 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [10/Mar/2023:11:40:17 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [10/Mar/2023:11:40:24 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1773
0:0:0:0:0:0:0:1 - - [10/Mar/2023:11:41:04 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1773
0:0:0:0:0:0:0:1 - - [10/Mar/2023:11:41:07 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1773
0:0:0:0:0:0:0:1 - - [10/Mar/2023:11:41:15 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1773
0:0:0:0:0:0:0:1 - - [10/Mar/2023:12:25:17 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1773
0:0:0:0:0:0:0:1 - - [10/Mar/2023:12:25:20 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1773
0:0:0:0:0:0:0:1 - - [10/Mar/2023:12:25:28 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1773
0:0:0:0:0:0:0:1 - - [10/Mar/2023:12:26:12 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1773
0:0:0:0:0:0:0:1 - - [10/Mar/2023:12:26:19 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1791
0:0:0:0:0:0:0:1 - - [10/Mar/2023:12:27:00 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1791
0:0:0:0:0:0:0:1 - - [10/Mar/2023:12:27:05 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 1792
