127.0.0.1 - - [23/May/2023:15:20:58 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/May/2023:15:21:02 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 2212
0:0:0:0:0:0:0:1 - - [23/May/2023:15:21:03 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/May/2023:15:21:19 +0800] "GET /openGaussPlatform/login_yanzheng?code=123456&pass=123456 HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [23/May/2023:15:21:19 +0800] "GET /openGaussPlatform/main_system.jsp HTTP/1.1" 200 2343
0:0:0:0:0:0:0:1 - - [23/May/2023:15:21:22 +0800] "GET /openGaussPlatform/history.jsp HTTP/1.1" 200 1579
0:0:0:0:0:0:0:1 - - [23/May/2023:15:22:16 +0800] "GET /openGaussPlatform/wrong.jsp HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [23/May/2023:15:22:16 +0800] "GET /openGaussPlatform/js/echarts.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:15:24:23 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 2212
0:0:0:0:0:0:0:1 - - [23/May/2023:15:24:23 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/May/2023:15:24:31 +0800] "GET /openGaussPlatform/login_yanzheng?code=123456&pass=123456 HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [23/May/2023:15:24:31 +0800] "GET /openGaussPlatform/main_system.jsp HTTP/1.1" 200 2343
0:0:0:0:0:0:0:1 - - [23/May/2023:15:24:34 +0800] "GET /openGaussPlatform/xinxi.jsp HTTP/1.1" 200 937
0:0:0:0:0:0:0:1 - - [23/May/2023:15:25:26 +0800] "GET /openGaussPlatform/pass_update.jsp HTTP/1.1" 200 941
0:0:0:0:0:0:0:1 - - [23/May/2023:15:26:12 +0800] "GET /openGaussPlatform/main_system.jsp HTTP/1.1" 200 2343
0:0:0:0:0:0:0:1 - - [23/May/2023:15:26:13 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 2212
0:0:0:0:0:0:0:1 - - [23/May/2023:15:26:20 +0800] "GET /openGaussPlatform/login_yanzheng?code=0191123783&pass=123456789 HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [23/May/2023:15:26:20 +0800] "GET /openGaussPlatform/guanli.jsp HTTP/1.1" 200 2340
0:0:0:0:0:0:0:1 - - [23/May/2023:15:26:24 +0800] "GET /openGaussPlatform/xinxi_guanli.jsp HTTP/1.1" 200 1307
0:0:0:0:0:0:0:1 - - [23/May/2023:15:27:10 +0800] "GET /openGaussPlatform/guanli.jsp HTTP/1.1" 200 2340
0:0:0:0:0:0:0:1 - - [23/May/2023:15:27:14 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 2212
0:0:0:0:0:0:0:1 - - [23/May/2023:15:33:18 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 2212
0:0:0:0:0:0:0:1 - - [23/May/2023:15:33:18 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/May/2023:15:33:27 +0800] "GET /openGaussPlatform/login_yanzheng?code=0191123783&pass=123456789 HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [23/May/2023:15:33:27 +0800] "GET /openGaussPlatform/guanli.jsp HTTP/1.1" 200 2340
0:0:0:0:0:0:0:1 - - [23/May/2023:15:33:29 +0800] "GET /openGaussPlatform/history.jsp HTTP/1.1" 200 2333
0:0:0:0:0:0:0:1 - - [23/May/2023:15:33:33 +0800] "GET /openGaussPlatform/wrong.jsp HTTP/1.1" 200 1284
0:0:0:0:0:0:0:1 - - [23/May/2023:15:36:55 +0800] "GET /openGaussPlatform/wrong.jsp HTTP/1.1" 200 1233
0:0:0:0:0:0:0:1 - - [23/May/2023:15:37:07 +0800] "GET /openGaussPlatform/guanli.jsp HTTP/1.1" 200 2340
0:0:0:0:0:0:0:1 - - [23/May/2023:15:37:11 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 2212
0:0:0:0:0:0:0:1 - - [23/May/2023:15:37:14 +0800] "GET /openGaussPlatform/zhuce.jsp HTTP/1.1" 200 941
